お金の歴史！ ―カネさえあれば人生HAPPY？【COTEN RADIO #72】,/watch?v=w_CZtE6pFEc
中国四千年のハゲ！ヤンヤン、静かに語る。―中国はなぜ統一したがるのか？―【COTEN RADIO 番外編 #16】,/watch?v=NscLobu_iFU
50万再生に感謝を込めて♥お便り紹介！【COTEN RADIO 番外編 #15】,/watch?v=9dd7A2X-pR8
アレクサンドロスのΨ難 ―そして始まる血みどろの後継者戦争【COTEN RADIO #71】,/watch?v=uWM_hR30fws
コテンラジオ忘年会2019！―こうして僕らは出会ってしまった―,/watch?v=fSwJHQl-SOI
アレクサンドロス、To LOVEる ！とらぶる！【COTEN RADIO #70】,/watch?v=icIrMhYHpxI
【緊急告知】コテンラジオYoutube生配信決定！12/11(水)22時〜【祝・チャンネル登録1000人突破記念！】,/watch?v=ca5Bn-ZbHvk
世紀末リーダー伝アレクサンドロス ―最終決戦！ガウガメラの戦い【COTEN RADIO #69】,/watch?v=4TgjGSGhqUc
世紀末リーダー伝アレクサンドロス ―イッソスの戦い編【COTEN RADIO #68】,/watch?v=6x8ck5xw7s0
世紀末リーダー伝アレクサンドロス  ―グラニコス編【COTEN RADIO #67】,/watch?v=j7gCo0jnE0o
アレクサンドロスのヒーローアカデミア【COTEN RADIO #66】,/watch?v=W6qd0V4rziQ
アレクサンドロス大王 ― すごいよ！！フィリッポス２世【COTEN RADIO #65】,/watch?v=TOvUumdOJpM
アレクサンドロス大王 ― ろくでなしGREECE！ペルシャ戦争と覇権の変遷【COTEN RADIO #64】,/watch?v=fjgCpe9ZykY
アレクサンドロス大王 ― 人の夢は終わらねぇ！英雄列伝！【COTEN RADIO #63】,/watch?v=tnBQSDAiph8
スタートアップから天下を獲った英雄・曹操 【公開収録！番外編 #14】COTEN RADIO,/watch?v=8JziyXOukkA
19万再生達成！お便り紹介【COTEN RADIO 番外編 #13】,/watch?v=fpCli5C_HsY
GOOD BYE 恐怖心！ガンディーをめざせ！【COTEN RADIO #62】,/watch?v=PU6GiD4XUjE
ガンディー暗殺―ヒンドゥーとイスラムの埋まらない亀裂【COTEN RADIO #61】,/watch?v=55srlYa1XZg
ガンディー！イギリスへの超絶「塩」対応【COTEN RADIO #60】,/watch?v=WCMVH5eQfqw
ガンディーのサティヤーグラハ・非暴力不服従！そして伝説へ【COTEN RADIO #59】,/watch?v=_B3TdbvuxxI
ガンディーの逆転人生！原点は南アフリカの凄惨すぎる人種差別【COTEN RADIO #58】,/watch?v=sGUMrY9EUec
しくじり聖者・ガンディー ― ポンコツすぎる弁護士時代【COTEN RADIO #57】,/watch?v=0dr-M6EoZBw
インド独立の父・ガンディー ― 偉大なる聖者の行進【COTEN RADIO #56】,/watch?v=SNuvY0_4n-I
当たり前レボリューション！それ、ホントに当たり前ですか？【COTEN RADIO 番外編 #12】,/watch?v=beOQaRkGsao
